,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 40 rabbit car
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 41 truck with parcels
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 42 64 frame cab
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 43 vw bug
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 44 crop duster
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 45 wind van
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 45 unused
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 46 unused
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 47 unused
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 48 unused
,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0      ; 49 unused
:
